"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.65207035331E+007, -3.26925049425E+001, +0.00000000000E+000
+5.68032725256E+007, -3.24893845417E+001, +0.00000000000E+000
+5.70858415180E+007, -3.22834239776E+001, +0.00000000000E+000
+5.73684105105E+007, -3.20888516099E+001, +0.00000000000E+000
+5.76509795030E+007, -3.18814035088E+001, +0.00000000000E+000
+5.79335484955E+007, -3.16777376272E+001, +0.00000000000E+000
+5.82161174880E+007, -3.14695028381E+001, +0.00000000000E+000
+5.84986864805E+007, -3.12618119204E+001, +0.00000000000E+000
+5.87812554729E+007, -3.10504824932E+001, +0.00000000000E+000
+5.90638244654E+007, -3.08437260519E+001, +0.00000000000E+000
+5.93463934579E+007, -3.06328436155E+001, +0.00000000000E+000
+5.96289624504E+007, -3.04221893139E+001, +0.00000000000E+000
+5.99115314429E+007, -3.02011381962E+001, +0.00000000000E+000
+6.01941004353E+007, -2.99897625557E+001, +0.00000000000E+000
+6.04766694278E+007, -2.97744588907E+001, +0.00000000000E+000
+6.07592384203E+007, -2.95553029338E+001, +0.00000000000E+000
+6.10418074128E+007, -2.93353475258E+001, +0.00000000000E+000
+6.13243764053E+007, -2.91125347958E+001, +0.00000000000E+000
+6.16069453978E+007, -2.88928012260E+001, +0.00000000000E+000
+6.18895143902E+007, -2.86654097297E+001, +0.00000000000E+000
+6.21720833827E+007, -2.84404421257E+001, +0.00000000000E+000
+6.24546523752E+007, -2.82178179807E+001, +0.00000000000E+000
+6.27372213677E+007, -2.79865234516E+001, +0.00000000000E+000
+6.30197903602E+007, -2.77592356643E+001, +0.00000000000E+000
+6.33023593527E+007, -2.75308663181E+001, +0.00000000000E+000
+6.35849283451E+007, -2.72923923542E+001, +0.00000000000E+000
+6.38674973376E+007, -2.70586267235E+001, +0.00000000000E+000
+6.41500663301E+007, -2.68242736368E+001, +0.00000000000E+000
+6.44326353226E+007, -2.65883034296E+001, +0.00000000000E+000
+6.47152043151E+007, -2.63545761726E+001, +0.00000000000E+000
+6.49977733076E+007, -2.61127025735E+001, +0.00000000000E+000
+6.52803423000E+007, -2.58725060171E+001, +0.00000000000E+000
+6.55629112925E+007, -2.56316422023E+001, +0.00000000000E+000
+6.58454802850E+007, -2.53839500014E+001, +0.00000000000E+000
+6.61280492775E+007, -2.51293938650E+001, +0.00000000000E+000
+6.64106182700E+007, -2.48905892521E+001, +0.00000000000E+000
+6.66931872624E+007, -2.46358449761E+001, +0.00000000000E+000
+6.69757562549E+007, -2.43881069836E+001, +0.00000000000E+000
+6.72583252474E+007, -2.41353355889E+001, +0.00000000000E+000
+6.75408942399E+007, -2.38745908816E+001, +0.00000000000E+000
+6.78234632324E+007, -2.36216602028E+001, +0.00000000000E+000
+6.81060322249E+007, -2.33682919472E+001, +0.00000000000E+000
+6.83886012173E+007, -2.31072715210E+001, +0.00000000000E+000
+6.86711702098E+007, -2.28452519097E+001, +0.00000000000E+000
